,loss,acc,lr,test_loss,test_acc,bs64_grad_norm_entire,bs64_stem3leaf0_bias,bs64_stem3leaf0_var,bs64_stem2leaf3_bias,bs64_stem2leaf3_var,bs64_stem0leaf3_bias,bs64_stem0leaf3_var
0,1.9765625,0.484375,0.029999999999999995,1.859375,0.6,2.4742543697357178,0.3095235228538513,1.0163646453619004,0.615024745464325,1.3986169707775116,1.822263479232788,3.970788323879242
1,1.859375,0.59375,0.029999999999999995,1.75,0.705,1.6020445823669434,0.34583500027656555,0.9481693637371064,0.8483071327209473,1.450248299241066,1.7723743915557861,3.5541167962551117
2,1.84375,0.625,0.029999999999999995,1.734375,0.723,2.47216534614563,0.5647996664047241,1.653185567855835,1.2693184614181519,2.482280351519585,1.6829477548599243,3.593434200286865
3,1.7890625,0.671875,0.029999999999999995,1.75,0.714,0.6371697187423706,0.24791674315929413,0.6344690580666065,0.44236046075820923,0.9753341123461723,1.3022546768188477,2.8115323293209076
4,1.8984375,0.5703125,0.029999999999999995,1.78125,0.685,1.2346289157867432,0.4212076663970947,1.5019132187962532,0.4351203143596649,1.6691916680335999,1.4100654125213623,3.412065974473953
5,1.71875,0.7421875,0.029999999999999995,1.7109375,0.745,1.906122088432312,0.437112957239151,1.8550741964578628,0.9122259616851807,2.3971527647972106,1.6589232683181763,3.2758122193813324
6,1.78125,0.6796875,0.029999999999999995,1.71875,0.74,0.6736065745353699,0.4685162901878357,1.1469471442699433,0.8793514370918274,1.7313134196400641,0.7646788358688354,2.5443970012664794
7,1.7421875,0.71875,0.029999999999999995,1.7421875,0.718,0.5929864645004272,0.8484070301055908,1.25223948687315,0.7795349955558777,1.349331600368023,0.7752310037612915,2.6881946659088136
8,1.796875,0.6640625,0.029999999999999995,1.734375,0.725,1.1551880836486816,0.2926537096500397,1.1840945035219193,0.8703020215034485,1.9179862231016158,1.7264221906661987,3.9313934874534606
9,1.671875,0.7890625,0.029999999999999995,1.71875,0.743,3.3529651165008545,1.543035864830017,2.797329903841019,2.459031581878662,3.739675565958023,3.10408878326416,4.597259414196015
10,1.75,0.7109375,0.029999999999999995,1.71875,0.747,3.675931215286255,1.9926575422286987,2.4344293546676634,2.927469491958618,3.6630323308706285,3.423970937728882,5.059702837467194
11,1.7734375,0.6875,0.029999999999999995,1.7421875,0.719,1.3915525674819946,0.5864524245262146,1.7525031703710556,0.7326735258102417,1.7545374941825866,1.3134491443634033,2.6532722270488738
12,1.8359375,0.625,0.029999999999999995,1.7265625,0.736,0.1834622621536255,0.6790305972099304,1.137998464256525,0.7943533062934875,1.594442653656006,0.8320379257202148,2.64065181016922
13,1.8203125,0.640625,0.029999999999999995,1.71875,0.74,1.2091364860534668,0.44050994515419006,1.7072716435790063,1.157304286956787,2.382190703600645,1.5087332725524902,3.6534730327129363
14,1.78125,0.6875,0.029999999999999995,1.734375,0.727,0.0025750300846993923,0.057450924068689346,0.10179931726190261,0.3367985486984253,0.602373339664191,1.0802682638168335,2.8303733629360797
15,1.7578125,0.703125,0.029999999999999995,1.71875,0.747,0.0005472791963256896,0.7761651873588562,0.8455968658646452,0.8443589210510254,1.1449511990419705,0.7246091961860657,1.8009930404199985
16,1.71875,0.7421875,0.029999999999999995,1.7265625,0.737,4.9388628005981445,3.5260684490203857,4.592212730646134,4.116302967071533,5.452770321369171,4.388745307922363,6.134884774684906
17,1.7421875,0.7265625,0.029999999999999995,1.7109375,0.752,0.25364449620246887,0.23453596234321594,0.2789335409551859,0.21506862342357635,0.2446864939108491,0.4959203898906708,1.4396403016149997
